Geeetech, BLACK, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-1-75mm-Geeetech-Printer-Orange/dp/B07TF93YYF/ref=sr_1_10?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-10
PRILINE, BLACK, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/PRILINE-Printer-Filament-Dimensional-Accuracy/dp/B07QQ2CB7W/ref=sr_1_12?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-12
eSUN, BLACK, PLA, 2.20 pounds, 3.00 millimeters, https://www.amazon.com/eSUN-Printer-Filament-Diameter-Pantone/dp/B01EKFV2NO/ref=sr_1_20?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-20
AmazonBasics, ASSORTED COLORS, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/AmazonBasics-Printer-Filament-1-75mm-Orange/dp/B07T6WMYWV/ref=sr_1_23?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-23
Foshan QIBAIXI trade Co.,LTD, BLACK, [     ], 2.2 pounds, [     ], https://www.amazon.com/3D-BEST-Q-Filament-Dimensional-Accuracy/dp/B078HXXSLV/ref=sr_1_28?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-28
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/s?k=orange+filament&i=industrial&rh=n%3A16310091&page=2&qid=1593651260&ref=sr_hi_1
PRILINE, BLACK, TPU, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/PRILINE-TPU-1KG-Filament-Dimensional-Accuracy/dp/B07S6MBBHN/ref=sr_1_27?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-27
Gizmo Dorks, [     ], PLA, 2.70 pounds, 1.75 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-1-75mm/dp/B074W1XFRX/ref=sr_1_30?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-30
eSUN, [     ], PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Orange-Filament-Printer/dp/B07NS6TTLG/ref=sr_1_32?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-32
eSUN, [     ], PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Orange-Printer-filament/dp/B01AIUBDOS/ref=sr_1_35?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-35
Overture, BLACK (2-PACK), PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B07VJ13BHY/ref=sr_1_43?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-43
RepRapper, BLACK, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/REPRAPPER-Printing-Filament-1-75mm-Orange/dp/B07Y54HV3P/ref=sr_1_46?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-46
AVEE, BLUE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/AVEE-PLA-100-3D-Printer-Filament/dp/B07TNQYBW6/ref=sr_1_48?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-48
TRONXY, [     ], PETG, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-Diameter-Tolerance-%EF%BC%882-2lbs%EF%BC%89Spool-Transparent/dp/B07P2VVFXQ/ref=sr_1_50?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-50
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/s?k=orange+filament&i=industrial&rh=n%3A16310091&page=3&qid=1593651261&ref=sr_hi_1
AVEE, BLUE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/AVEE-PLA-100-3D-Printer-Filament/dp/B07TNQYBW6/ref=sr_1_51?dchild=1&keywords=orange+filament&qid=1593651237&s=industrial&sr=1-51
Prusament, [     ], PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Prusament-Orange-Filament-Diameter-Tolerance/dp/B07QV29N4L/ref=sr_1_53?dchild=1&keywords=orange+filament&qid=1593651237&s=industrial&sr=1-53
