OVERTURE, ORANGE, PETG, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B07VJYL11F/ref=sr_1_3?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-3
HATCHBOX, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B00J0EE1D4/ref=sr_1_4?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-4
MIKA3D, SILK ORANGE SILK YELLOW SILK LIME GREEN, SILK PLA FILAMENT, 3.31 pounds, 1.75 millimeters, https://www.amazon.com/MIKA3D-Printer-Filament-Printing-Material/dp/B07S84KQ91/ref=sr_1_5?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-5
NOVAMAKER, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/NOVAMAKER-3D-Printer-Filament-Dimensional/dp/B072JYF4P3/ref=sr_1_6?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-6
CC3D, SILK ORANGE, PLA, 2.87 pounds, 1.75 millimeters, https://www.amazon.com/Filament-Printing-Material-CC3D-Metallic/dp/B07PN8M2BG/ref=sr_1_7?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-7
ZIRO, FLUO ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/ZIRO-Printer-Filament-Dimensional-Accuracy/dp/B01H3IIE40/ref=sr_1_8?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-8
3D Solutech, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/3D-Solutech-Filament-Dimensional-Accuracy/dp/B00ME74ZJY/ref=sr_1_9?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-9
OVERTURE, ORANGE, ENGINEERING_THERMOPLASTIC_POLYURETHANE, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Overture-Filament-Flexible-Consumables-Dimensional/dp/B07VGWG9S7/ref=sr_1_11?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-11
CC3D, FLAME ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-Printing-Material-Strength-CC3D/dp/B07R1SKY5M/ref=sr_1_13?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-13
AmazonBasics, NEON ORANGE, PLA, 3.06 pounds, 1.75 millimeters, https://www.amazon.com/AmazonBasics-Printer-Filament-1-75mm-Orange/dp/B07T6VTG61/ref=sr_1_14?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-14
KODAK, ORANGE, PLA, 1.65 ounces, 1.75 millimeters, https://www.amazon.com/KODAK-Printing-Filament-Orange-1-75/dp/B079NMJNHK/ref=sr_1_17?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-17
LulzBot, TRUE ORANGE, PLA, 2.00 pounds, 2.85 millimeters, https://www.amazon.com/LulzBot-PolyLite-Polymaker-Filament-Orange/dp/B01IAVQRVG/ref=sr_1_18?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-18
RepRapper, 1KG ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/RepRapper-Printing-Filament-Non-Brittle-Dimensional/dp/B07CY1883L/ref=sr_1_19?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-19
CC3D, ORANGE, PETG, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Orange-Filament-Printer-Printing-Materials/dp/B082WW1NXC/ref=sr_1_21?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-21
SUNLU, COLOR CHANGING FILAMENT ORANGE TO WHITE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/SUNLU-Changing-Filament-Temperature-Printer/dp/B07ZPQYPSG/ref=sr_1_22?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-22
eSUN, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Orange-Printer-Filament/dp/B01EKEMA2M/ref=sr_1_24?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-24
FilaCube, LONGHORN ORANGE, POLYLACTIC ACID, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Burnt-Orange-Printer-1-75mm-Filament/dp/B07S95M6NK/ref=sr_1_25?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-25
TECBEARS, ORANGE, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-TECBEARS-Printing-Dimensional-No-Tangle/dp/B081813R8J/ref=sr_1_26?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-26
HATCHBOX, ORANGE, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B014VM9ALM/ref=sr_1_27?dchild=1&keywords=orange+filament&qid=1593651259&s=industrial&sr=1-27
eSUN, ORANGE, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), [     ], 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Filament-Printer-Semi-Transparent/dp/B010Y25QZ2/ref=sr_1_28?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-28
Gizmo Dorks, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-Fluorescent/dp/B00ITZOWMU/ref=sr_1_29?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-29
NovaMaker, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/NOVAMAKER-ABS-1KG1-75-ORN-Filament-Dimensional-Accuracy/dp/B0746C8BQN/ref=sr_1_31?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-31
eSUN, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Orange-Printer-filament/dp/B00MVIPAK4/ref=sr_1_33?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-33
HATCHBOX, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B00J0H4EVU/ref=sr_1_34?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-34
CCTREE, TRAN-ORANGE, PETG, 2.2 pounds, [     ], https://www.amazon.com/CCTREE-Filament-Creality-Printer-Tran-Orange/dp/B081RS5JPS/ref=sr_1_36?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-36
iSANMATE, ORANGE, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.87 pounds, 1.75 millimeters, https://www.amazon.com/iSANMATE-Filament-Printer-Dimensional-Accuracy/dp/B07VWG7DBK/ref=sr_1_37?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-37
KODAK, TRANSLUCENT ORANGE, PETG, [     ], 2.85 millimeters, https://www.amazon.com/PETG-Printer-Filament-2-85mm-Translucent/dp/B01LRPBJ2O/ref=sr_1_38?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-38
CC3D, ORANGE TO YELLOW, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/cc3d-Changing-Temperature-Filament-Dimensional/dp/B074T999FX/ref=sr_1_41?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-41
Gizmo Dorks, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.85 pounds, 1.75 millimeters, https://www.amazon.com/Gizmo-Dorks-1-75mm-Filament-Printers/dp/B00F9MKT7I/ref=sr_1_42?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-42
ZI-RUI, PINE GREEN TO LIGHT ORANGE TO YELLOW, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Zi-Rui-Printer-Filament-Changing-Temperature/dp/B07M5Y4DF6/ref=sr_1_44?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-44
Gizmo Dorks, ORANGE, PLA, 2.20 pounds, 3.00 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-Translucent/dp/B00GU2H5JG/ref=sr_1_45?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-45
RepRapper, 1KG ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/RepRapper-Printing-Filament-Non-Brittle-Dimensional/dp/B07CY1883L/ref=sr_1_47?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-47
MakerBot, ORANGE, PLA (POLYLACTIC ACID), 2.01 pounds, 1.75 millimeters, https://www.amazon.com/MakerBot-Filament-Diameter-Large-Orange/dp/B00SZ2JZEW/ref=sr_1_49?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-49
MG Chemicals, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/MG-Chemicals-Orange-Printer-Filament/dp/B014PEZF56/ref=sr_1_51?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-51
Dremel, ORANGE, PLA (POLYLACTIC ACID), 1.10 pounds, 1.75 millimeters, https://www.amazon.com/Dremel-Printer-Filament-Diameter-Weight/dp/B00NA00GWO/ref=sr_1_52?dchild=1&keywords=orange+filament&qid=1593651236&s=industrial&sr=1-52
