Geeetech, BLACK, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Filament-1-75mm-Geeetech-Printer-Orange/dp/B07TF93YYF/ref=sr_1_8?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-8
LulzBot, TRUE ORANGE, PLA, 2.00 pounds, 2.85 millimeters millimeters, https://www.amazon.com/LulzBot-PolyLite-Polymaker-Filament-Orange/dp/B01IAVQRVG/ref=sr_1_10?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-10
LulzBot, TRUE ORANGE, PLA, 2.00 pounds, 2.85 millimeters millimeters, https://www.amazon.com/LulzBot-PolyLite-Polymaker-Filament-Orange/dp/B01IAVQRVG/ref=sr_1_10?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-10
AmazonBasics, BLUE, PLA, 3.06 pounds, 1.75 millimeters millimeters, https://www.amazon.com/AmazonBasics-Printer-Filament-1-75mm-Orange/dp/B07T6VTG61/ref=sr_1_14?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-14
KODAK, ORANGE, PLA, 1.65 ounces, 1.75 millimeters millimeters, https://www.amazon.com/KODAK-Printing-Filament-Orange-1-75/dp/B079NMJNHK/ref=sr_1_17?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-17
KODAK, ORANGE, PLA, 1.65 ounces, 1.75 millimeters millimeters, https://www.amazon.com/KODAK-Printing-Filament-Orange-1-75/dp/B079NMJNHK/ref=sr_1_17?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-17
CC3D, ORANGE, PETG, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Orange-Filament-Printer-Printing-Materials/dp/B082WW1NXC/ref=sr_1_18?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-18
eSUN, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/eSUN-1-75mm-Orange-Printer-Filament/dp/B01EKEMA2M/ref=sr_1_23?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-23
FilaCube, LONGHORN ORANGE, POLYLACTIC ACID, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Burnt-Orange-Printer-1-75mm-Filament/dp/B07S95M6NK/ref=sr_1_24?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-24
FilaCube, LONGHORN ORANGE, POLYLACTIC ACID, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Burnt-Orange-Printer-1-75mm-Filament/dp/B07S95M6NK/ref=sr_1_24?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-24
KODAK, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), [     ], 1.75 millimeters millimeters, https://www.amazon.com/KODAK-3D-Printing-Filament-Orange/dp/B01LRP9RGE/ref=sr_1_26?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-26
KODAK, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), [     ], 1.75 millimeters millimeters, https://www.amazon.com/KODAK-3D-Printing-Filament-Orange/dp/B01LRP9RGE/ref=sr_1_26?dchild=1&keywords=orange+filament&qid=1593571065&s=industrial&sr=1-26
Filament PM, ORANGE, PETG, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Czech-Made-Orange-Printing-Filament-PM/dp/B0823DNV6X/ref=sr_1_27?dchild=1&keywords=orange+filament&qid=1593571047&s=industrial&sr=1-27
AmazonBasics, ASSORTED COLORS, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/AmazonBasics-Printer-Filament-1-75mm-Orange/dp/B07T6WMYWV/ref=sr_1_31?dchild=1&keywords=orange+filament&qid=1593571047&s=industrial&sr=1-31
MG Chemicals, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/MG-Chemicals-Orange-Printer-Filament/dp/B014PEZF56/ref=sr_1_33?dchild=1&keywords=orange+filament&qid=1593571047&s=industrial&sr=1-33
MG Chemicals, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/MG-Chemicals-Orange-Printer-Filament/dp/B014PEZF56/ref=sr_1_33?dchild=1&keywords=orange+filament&qid=1593571047&s=industrial&sr=1-33
eSUN, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/eSUN-1-75mm-Orange-Printer-filament/dp/B00MVIPAK4/ref=sr_1_34?dchild=1&keywords=orange+filament&qid=1593571047&s=industrial&sr=1-34
Prusament, [     ], PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Prusament-Orange-Filament-Diameter-Tolerance/dp/B07QV29N4L/ref=sr_1_43?dchild=1&keywords=orange+filament&qid=1593571047&s=industrial&sr=1-43
